node,dof,limit
28,0,-1
32,0,-1
38,0,-1
39,0,-1
43,0,-1
47,0,-1
53,0,-1
57,0,-1
62,0,-1
69,0,-1
73,0,-1
79,0,-1
83,0,-1
87,0,-1
90,0,-1
96,0,-1
99,0,-1
95,0,-1
89,0,-1
88,0,-1
84,0,-1
80,0,-1
74,0,-1
70,0,-1
61,0,-1
58,0,-1
54,0,-1
48,0,-1
44,0,-1
40,0,-1
37,0,-1
31,0,-1
