0,0.211,0.211
1,0.789,0.211
2,0.789,0.789
3,0.211,0.789
4,1.211,0.211
5,1.789,0.211
6,1.789,0.789
7,1.211,0.789
8,2.211,0.211
9,2.789,0.211
10,2.789,0.789
11,2.211,0.789
12,3.211,0.211
13,3.789,0.211
14,3.789,0.789
15,3.211,0.789
16,4.211,0.211
17,4.789,0.211
18,4.789,0.789
19,4.211,0.789
20,5.211,0.211
21,5.789,0.211
22,5.789,0.789
23,5.211,0.789
24,0.211,1.211
25,0.789,1.211
26,0.789,1.789
27,0.211,1.789
28,1.211,1.211
29,1.789,1.211
30,1.789,1.789
31,1.211,1.789
32,2.211,1.211
33,2.789,1.211
34,2.789,1.789
35,2.211,1.789
36,3.211,1.211
37,3.789,1.211
38,3.789,1.789
39,3.211,1.789
40,4.211,1.211
41,4.789,1.211
42,4.789,1.789
43,4.211,1.789
44,5.211,1.211
45,5.789,1.211
46,5.789,1.789
47,5.211,1.789
48,0.211,2.211
49,0.789,2.211
50,0.789,2.789
51,0.211,2.789
52,1.211,2.211
53,1.789,2.211
54,1.789,2.789
55,1.211,2.789
56,2.211,2.211
57,2.789,2.211
58,2.789,2.789
59,2.211,2.789
60,3.211,2.211
61,3.789,2.211
62,3.789,2.789
63,3.211,2.789
64,4.211,2.211
65,4.789,2.211
66,4.789,2.789
67,4.211,2.789
68,5.211,2.211
69,5.789,2.211
70,5.789,2.789
71,5.211,2.789
72,0.211,3.211
73,0.789,3.211
74,0.789,3.789
75,0.211,3.789
76,1.211,3.211
77,1.789,3.211
78,1.789,3.789
79,1.211,3.789
80,2.211,3.211
81,2.789,3.211
82,2.789,3.789
83,2.211,3.789
84,3.211,3.211
85,3.789,3.211
86,3.789,3.789
87,3.211,3.789
88,4.211,3.211
89,4.789,3.211
90,4.789,3.789
91,4.211,3.789
92,5.211,3.211
93,5.789,3.211
94,5.789,3.789
95,5.211,3.789
