joint_number,dof_of_load,load_magnitude
49,0,-1
213,0,-1
8,0,-1
167,0,-1
37,0,-1
197,0,-1
36,0,-1
195,0,-1
2,0,-1
115,0,-1
21,0,-1
112,0,-1
20,0,-1
110,0,-1
19,0,-1
108,0,-1
18,0,-1
106,0,-1
1,0,-1
136,0,-1
28,0,-1
166,0,-1
27,0,-1
164,0,-1
7,0,-1
222,0,-1
52,0,-1
219,0,-1
51,0,-1
217,0,-1
50,0,-1
215,0,-1
