num,x,y
0,6.41421365737915,-6.41421365737915
1,10.0,-10.0
2,10.0,0.0
3,7.0,2.22044604925031e-16
4,10.0,10.0
5,6.41421365737915,6.41421365737915
6,2.82842707633972,-2.82842707633972
7,4.0,0.0
8,2.22044604925031e-16,-7.0
9,0.0,-10.0
10,0.0,10.0
11,-2.22044604925031e-16,7.0
12,2.82842707633972,2.82842707633972
13,0.0,-4.0
14,-6.41421365737915,-6.41421365737915
15,-10.0,-10.0
16,-10.0,10.0
17,-6.41421365737915,6.41421365737915
18,0.0,4.0
19,-2.82842707633972,-2.82842707633972
20,-7.0,0.0
21,-10.0,0.0
22,-2.82842707633972,2.82842707633972
23,-4.0,0.0
24,8.207106590271,-8.207106590271
25,10.0,-5.0
26,8.5,0.0
27,6.707106590271,-3.20710682868958
28,8.207106590271,8.207106590271
29,6.707106590271,3.20710682868958
30,10.0,5.0
31,4.62132024765015,-4.62132024765015
32,5.5,0.0
33,3.41421365737915,-1.41421353816986
34,0.0,-8.5
35,5.0,-10.0
36,3.20710682868958,-6.707106590271
37,0.0,8.5
38,3.20710682868958,6.707106590271
39,5.0,10.0
40,4.62132024765015,4.62132024765015
41,3.41421365737915,1.41421353816986
42,0.0,-5.5
43,1.41421353816986,-3.41421365737915
44,-8.207106590271,-8.207106590271
45,-5.0,-10.0
46,-3.20710682868958,-6.707106590271
47,-8.207106590271,8.207106590271
48,-3.20710682868958,6.707106590271
49,-5.0,10.0
50,0.0,5.5
51,1.41421353816986,3.41421365737915
52,-4.62132024765015,-4.62132024765015
53,-1.41421353816986,-3.41421365737915
54,-6.707106590271,-3.20710682868958
55,-8.5,0.0
56,-10.0,-5.0
57,-6.707106590271,3.20710682868958
58,-10.0,5.0
59,-4.62132024765015,4.62132024765015
60,-1.41421353816986,3.41421365737915
61,-5.5,0.0
62,-3.41421365737915,-1.41421353816986
63,-3.41421365737915,1.41421353816986
