num,section,element_type,nodes
0,plate,Q8R,0-1-2-6-11-13-15-7
1,plate,Q8R,2-3-4-5-8-9-11-6
2,plate,Q8R,15-13-11-19-23-26-30-24
3,plate,Q8R,11-9-8-10-12-20-23-19
4,plate,Q8R,30-26-23-25-27-31-34-33
5,plate,Q8R,23-20-12-14-16-21-27-25
6,plate,Q8R,34-31-27-28-29-32-36-35
7,plate,Q8R,27-21-16-17-18-22-29-28
