joint_number,dof_of_load,load_magnitude
13,0,-1
43,0,-1
6,0,-1
33,0,-1
7,0,-1
41,0,-1
12,0,-1
51,0,-1
18,0,-1
60,0,-1
22,0,-1
63,0,-1
23,0,-1
62,0,-1
19,0,-1
53,0,-1
