2.7708383740e+05
9.2126531329e+04
-1.6392028361e+04
3.9161884474e+05
2.1344671460e+05
6.5720070291e+04
3.9148807496e+04
1.8420421340e+03
1.1388386519e+03
5.8228253002e+03
2.8204681297e+04
7.5246631207e+04
8.4185826870e+04
-8.5164142214e+03
4.5601997930e+03
-3.1914405672e+05
1.5108088661e+05
<<<<<<< HEAD
1.4116950999e-08
=======
-6.1399213781e-09
>>>>>>> 9a4c73ab5c3740dd3c0deb63d876867531a39059
-1.5957202836e+05
7.3006432184e+04
3.0622382421e+04
-3.1914405672e+05
<<<<<<< HEAD
-1.0641032376e-08
=======
4.4208129669e-09
>>>>>>> 9a4c73ab5c3740dd3c0deb63d876867531a39059
8.7196186509e+04
