node,dof
0,0
12,0
80,0
92,0
1,0
1,2
2,0
2,2
3,0
3,2
4,0
4,2
5,0
5,2
6,0
6,2
7,0
7,2
8,0
8,2
9,0
9,2
10,0
10,2
11,0
11,2
19,0
19,1
32,0
32,1
39,0
39,1
52,0
52,1
59,0
59,1
72,0
72,1
79,0
79,1
81,0
81,2
82,0
82,2
83,0
83,2
84,0
84,2
85,0
85,2
86,0
86,2
87,0
87,2
88,0
88,2
89,0
89,2
90,0
90,2
91,0
91,2
13,0
13,1
20,0
20,1
33,0
33,1
40,0
40,1
53,0
53,1
60,0
60,1
73,0
73,1
