2.3833574794e-02
4.3483256214e-03
1.0866131532e-03
1.5710963686e-03
3.7328125994e-05
-2.0658147029e-04
2.3830903418e-02
<<<<<<< HEAD
-1.6681416413e-03
-5.2536216107e-07
8.4864134309e-04
1.0854887280e-03
=======
-1.6681416414e-03
-5.2536216108e-07
8.4864134311e-04
1.0854887281e-03
>>>>>>> 9a4c73ab5c3740dd3c0deb63d876867531a39059
-3.6019089044e-03
