0,0.106,0.206
1,0.394,0.190
2,0.394,0.711
3,0.106,0.768
4,0.606,0.179
5,0.894,0.164
6,0.894,0.612
7,0.606,0.669
8,1.106,0.153
9,1.394,0.138
10,1.394,0.514
11,1.106,0.571
12,1.606,0.126
13,1.894,0.111
14,1.894,0.415
15,1.606,0.472
16,0.106,1.179
17,0.394,1.092
18,0.394,1.612
19,0.106,1.741
20,0.606,1.028
21,0.894,0.940
22,0.894,1.389
23,0.606,1.518
24,1.106,0.876
25,1.394,0.789
26,1.394,1.165
27,1.106,1.294
28,1.606,0.725
29,1.894,0.638
30,1.894,0.942
31,1.606,1.071
32,0.137,2.105
33,0.423,1.949
34,0.503,2.347
35,0.223,2.535
36,0.633,1.834
37,0.919,1.678
38,0.988,2.021
39,0.708,2.209
40,1.129,1.564
41,1.415,1.408
42,1.473,1.696
43,1.193,1.884
44,1.625,1.294
45,1.911,1.138
46,1.958,1.371
47,1.678,1.558
48,0.343,2.826
49,0.614,2.616
50,0.840,2.954
51,0.587,3.191
52,0.813,2.463
53,1.084,2.254
54,1.278,2.544
55,1.025,2.781
56,1.282,2.100
57,1.553,1.891
58,1.716,2.135
59,1.463,2.371
60,1.752,1.737
61,2.023,1.528
62,2.154,1.725
63,1.901,1.962
64,0.809,3.413
65,1.046,3.160
66,1.384,3.386
67,1.174,3.657
68,1.219,2.975
69,1.456,2.722
70,1.746,2.916
71,1.537,3.187
72,1.629,2.537
73,1.865,2.284
74,2.109,2.447
75,1.900,2.718
76,2.038,2.099
77,2.275,1.846
78,2.472,1.977
79,2.263,2.248
80,1.465,3.777
81,1.653,3.497
82,2.051,3.577
83,1.895,3.863
84,1.791,3.292
85,1.979,3.012
86,2.322,3.081
87,2.166,3.367
88,2.116,2.807
89,2.304,2.527
90,2.592,2.585
91,2.436,2.871
92,2.442,2.322
93,2.629,2.042
94,2.862,2.089
95,2.706,2.375
96,2.259,3.894
97,2.388,3.606
98,2.908,3.606
99,2.821,3.894
100,2.482,3.394
101,2.611,3.106
102,3.060,3.106
103,2.972,3.394
104,2.706,2.894
105,2.835,2.606
106,3.211,2.606
107,3.124,2.894
108,2.929,2.394
109,3.058,2.106
110,3.362,2.106
111,3.275,2.394
112,3.232,3.894
113,3.289,3.606
114,3.810,3.606
115,3.794,3.894
116,3.331,3.394
117,3.388,3.106
118,3.836,3.106
119,3.821,3.394
120,3.429,2.894
121,3.486,2.606
122,3.862,2.606
123,3.847,2.894
124,3.528,2.394
125,3.585,2.106
126,3.889,2.106
127,3.874,2.394
