6.7295320665e-01
5.8846297058e-02
3.5805952116e-01
-7.4871525198e-03
5.2597431368e-02
<<<<<<< HEAD
-2.3196470402e-02
6.7297672110e-01
-5.4884237489e-04
9.0901221217e-04
1.2097985275e-04
=======
-2.3196470403e-02
6.7297672111e-01
-5.4884237519e-04
9.0901221218e-04
1.2097985290e-04
>>>>>>> 9a4c73ab5c3740dd3c0deb63d876867531a39059
2.4402972862e-01
-2.6916424885e-02
