node,dof
0,0
0,1
0,2
1,0
1,1
1,2
2,0
2,1
2,2
3,0
3,1
3,2
4,0
4,1
4,2
5,0
5,1
5,2
6,0
6,1
6,2
7,0
7,1
7,2
10,0
10,1
10,2
11,0
11,1
11,2
17,0
17,1
17,2
18,0
18,1
18,2
21,0
21,1
21,2
22,0
22,1
22,2
28,0
28,1
28,2
29,0
29,1
29,2
32,0
32,1
32,2
33,0
33,1
33,2
34,0
34,1
34,2
35,0
35,1
35,2
36,0
36,1
36,2
37,0
37,1
37,2
38,0
38,1
38,2
39,0
39,1
39,2
