node,dof,limit
13,0,-2
43,0,-2
6,0,-2
33,0,-2
7,0,-2
41,0,-2
12,0,-2
51,0,-2
18,0,-2
60,0,-2
22,0,-2
63,0,-2
23,0,-2
62,0,-2
19,0,-2
53,0,-2
