0, 1.449048369093187974e-05
1, 1.672775508387882969e-05
2, 1.706111285606261443e-05
3, 1.723083523209426477e-05
4, 1.725207044901092357e-05
5, 1.715944856809882967e-05
6, 1.698875634430625398e-05
7, 1.676743463108464286e-05
8, 1.651300386526009762e-05
9, 1.623491322072350619e-05
10, 1.593689074127809110e-05
11, 1.561875766783197623e-05
12, 1.527760164344763000e-05
13, 1.490850873257899909e-05
14, 1.450514298426761869e-05
15, 1.406055302915724264e-05
16, 1.356876939640511887e-05
17, 1.302800104447504107e-05
18, 1.244618988252342897e-05
19, 1.184829983110380690e-05
20, 1.128075120398603674e-05
21, 1.080416392889180822e-05
22, 1.047080615670796588e-05
23, 1.030108378067647139e-05
24, 1.027984856375979904e-05
25, 1.037247044467174048e-05
26, 1.054316266846441611e-05
27, 1.076448438168614244e-05
28, 1.101891514751058602e-05
29, 1.129700579204714019e-05
30, 1.159502827149253834e-05
31, 1.191316134493866845e-05
32, 1.225431736932298757e-05
33, 1.262341028019164559e-05
34, 1.302677602850305140e-05
35, 1.347136598361346472e-05
36, 1.396314961636555123e-05
37, 1.450391796829555109e-05
38, 1.508572913024717167e-05
39, 1.568361918166678696e-05
40, 1.625116780878461641e-05
41, 1.731362253723252710e-05
42, 1.787601536177019495e-05
43, 1.816234630830348555e-05
44, 1.819817128260419655e-05
45, 1.804191309525523450e-05
46, 1.775394596241644209e-05
47, 1.738056410719560660e-05
48, 1.695132546636863601e-05
49, 1.648217131395798659e-05
50, 1.597939106409906605e-05
51, 1.544268314041054142e-05
52, 1.486713423718676561e-05
53, 1.424445427595339656e-05
54, 1.356395416033149546e-05
55, 1.281390654938894332e-05
56, 1.198424061877944409e-05
57, 1.107193478330961627e-05
58, 1.009038747882062213e-05
59, 9.081714206924023036e-06
60, 8.124228580066477674e-06
61, 7.320199737351679631e-06
62, 6.757806912814050751e-06
63, 6.471475966280861787e-06
64, 6.435650991980076255e-06
65, 6.591909179328955294e-06
66, 6.879876312167874754e-06
67, 7.253258167388593360e-06
68, 7.682496808215540232e-06
69, 8.151650960626255724e-06
70, 8.654431210485215222e-06
71, 9.191139134173761875e-06
72, 9.766688037397471621e-06
73, 1.038936799863093892e-05
74, 1.106986811425269094e-05
75, 1.181991572519531085e-05
