joint_number,dof_of_load,load_magnitude
28,0,10000000
32,0,10000000
38,0,10000000
39,0,10000000
43,0,10000000
47,0,10000000
53,0,10000000
57,0,10000000
62,0,10000000
69,0,10000000
73,0,10000000
79,0,10000000
83,0,10000000
87,0,10000000
90,0,10000000
96,0,10000000
99,0,10000000
95,0,10000000
89,0,10000000
88,0,10000000
84,0,10000000
80,0,10000000
74,0,10000000
70,0,10000000
61,0,10000000
58,0,10000000
54,0,10000000
48,0,10000000
44,0,10000000
40,0,10000000
37,0,10000000
31,0,10000000
